City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
238,Clyde River,CA,2021-11-08 20:27:49,70.4692,-68.5914,259.28,92,20,8.23
239,Waddan,LY,2021-11-08 20:27:49,29.1614,16.139,296.2,25,100,4.37
240,Parfenyevo,RU,2021-11-08 20:27:50,58.484,43.4088,275.94,97,100,2.14
241,Fortuna,US,2021-11-08 20:25:03,40.5982,-124.1573,285.18,61,1,4.92
242,Kruisfontein,ZA,2021-11-08 20:27:50,-34.0033,24.7314,285.86,86,100,4.05
243,Mocuba,MZ,2021-11-08 20:27:51,-16.8392,36.9856,298.19,70,82,1.05
244,Atar,MR,2021-11-08 20:27:51,20.5169,-13.0499,299.01,15,81,4.26
245,Santa Maria,BR,2021-11-08 20:24:33,-29.6842,-53.8069,299.76,41,0,3.6
246,Tarakan,ID,2021-11-08 20:27:52,3.3,117.6333,299.01,84,100,2.66
247,Sola,VU,2021-11-08 20:27:52,-13.8833,167.55,300.77,72,4,6.2
248,Roros,NO,2021-11-08 20:27:53,62.5747,11.3842,266.06,93,100,1.03
249,Cidreira,BR,2021-11-08 20:27:53,-30.1811,-50.2056,292.77,64,8,3.63
250,Ciumeghiu,RO,2021-11-08 20:27:54,46.7333,21.5833,279.55,81,99,0.76
251,Finschhafen,PG,2021-11-08 20:27:54,-6.6024,147.8681,299.6,76,15,3.28
252,Kodiak,US,2021-11-08 20:27:55,57.79,-152.4072,275.88,65,1,6.17
253,Baherden,TM,2021-11-08 20:27:55,38.4362,57.4316,282.24,41,0,2.61
254,Tocopilla,CL,2021-11-08 20:27:55,-22.092,-70.1979,292.03,67,30,2.53
255,Phayao,TH,2021-11-08 20:27:56,19.25,100.25,293.37,99,59,1.01
256,Nakamura,JP,2021-11-08 20:27:56,32.9833,132.9333,286.22,83,55,5.31
257,Kandrian,PG,2021-11-08 20:27:57,-6.2167,149.55,297.86,86,44,1.41
258,Flin Flon,CA,2021-11-08 20:25:31,54.7682,-101.865,277.06,70,75,3.6
259,Mehamn,NO,2021-11-08 20:27:57,71.0357,27.8492,273.1,69,100,3.88
260,Kahului,US,2021-11-08 20:27:58,20.8947,-156.47,302.16,56,20,8.23
261,Butembo,CD,2021-11-08 20:27:58,0.15,29.2833,287.88,94,100,0.66
262,San Matias,BO,2021-11-08 20:27:59,-16.3667,-58.4,303.89,54,100,1.27
263,Ternate,ID,2021-11-08 20:27:59,0.8,127.4,299.14,78,100,2.34
264,Sangar,RU,2021-11-08 20:28:00,63.9242,127.4739,259.83,92,100,6.76
265,Myskhako,RU,2021-11-08 20:28:00,44.6714,37.7433,288.05,90,10,3.98
266,Kovdor,RU,2021-11-08 20:28:00,67.5662,30.4758,263.04,97,46,1.47
267,Ambovombe,MG,2021-11-08 20:28:01,-25.1667,46.0833,296.59,82,26,2.1
268,Remanso,BR,2021-11-08 20:28:02,-9.6179,-42.0831,301.67,58,74,2.47
269,Dubuque,US,2021-11-08 20:28:02,42.4833,-90.8668,293.66,51,1,0.0
270,Senneterre,CA,2021-11-08 20:28:03,48.3835,-77.2328,285.27,72,97,4.61
271,Buin,CL,2021-11-08 20:28:04,-33.7333,-70.75,304.33,12,0,4.95
272,Krasnoselkup,RU,2021-11-08 20:28:04,65.7,82.4667,260.4,90,84,3.68
273,Loanda,AO,2021-11-08 20:26:15,-8.8368,13.2343,299.15,78,40,4.12
274,Rio Gallegos,AR,2021-11-08 20:28:05,-51.6226,-69.2181,293.18,17,0,7.2
275,Verkhnyaya Toyma,RU,2021-11-08 20:28:05,62.2349,44.9985,270.89,78,100,4.55
276,Kamenka,RU,2021-11-08 20:28:05,51.3223,42.7678,280.91,84,100,5.61
277,Guanica,PR,2021-11-08 20:28:06,17.9716,-66.908,302.77,72,27,2.68
278,Los Algarrobos,PA,2021-11-08 20:28:06,8.5,-82.4333,302.85,79,20,4.63
279,Filingue,NE,2021-11-08 20:28:07,14.3521,3.3168,305.07,11,0,3.9
